train_score,h_value,time,time_selection,time_causal,time_predictive,time_sec,time_selection_sec,time_causal_sec,time_predictive_sec,X_train_shapes,y_train_shapes,X_train_shapes_selection,y_train_shapes_selection,X_train_shapes_causal,y_train_shapes_causal,X_train_shapes_predictive,y_train_shapes_predictive,n_features
0.9056668474749089,,00:12,,,,12.305877208709717,,,,"[123823, 27]",[123823],,,,,,,27.0
0.7355487554308477,,00:00,,,,0.03532528877258301,,,,"[123823, 27]",[123823],,,,,,,27.0
0.8779353237977435,,00:02,,,,2.360381841659546,,,,"[123823, 27]",[123823],,,,,,,27.0
0.9060048301581107,,00:12,,,00:12,12.230369091033936,,,12.053950309753418,,,"[123823, 27]",[123823],,,"[123823, 27]",[123823],27.0
0.8750539240996749,,00:00,,,00:00,0.43457484245300293,,,0.25627756118774414,,,"[123823, 27]",[123823],,,"[123823, 27]",[123823],27.0
0.8788843444669312,,00:01,,,00:01,1.5192115306854248,,,1.3466377258300781,,,"[123823, 27]",[123823],,,"[123823, 27]",[123823],27.0
0.711077339992212,,00:01,,,00:01,1.8496391773223877,,,1.7493228912353516,,,"[123823, 27]",[123823],,,"[123823, 11]",[123823],11.0
0.6540775968648493,,00:00,,,00:00,0.14244341850280762,,,0.03357291221618652,,,"[123823, 27]",[123823],,,"[123823, 11]",[123823],11.0
0.6386131755887545,,00:00,,,00:00,0.6068120002746582,,,0.4624505043029785,,,"[123823, 27]",[123823],,,"[123823, 11]",[123823],11.0
0.7729701807209269,,08:13,,,00:02,493.9245653152466,,,2.8943614959716797,,,"[123823, 27]",[123823],,,"[123823, 1]",[123823],1.0
0.5525255829512772,,00:20,,,00:00,20.569466590881348,,,0.023547887802124023,,,"[123823, 27]",[123823],,,"[123823, 1]",[123823],1.0
0.8769893677920227,,00:09,,,00:00,9.499573469161987,,,0.6565670967102051,,,"[123823, 27]",[123823],,,"[123823, 16]",[123823],16.0
0.8449886384849463,,28:16,,,00:03,1696.1383316516876,,,3.816898822784424,,,"[123823, 27]",[123823],,,"[123823, 6]",[123823],6.0
0.7601596027036543,,01:16,,,00:00,76.23751068115234,,,0.027976036071777344,,,"[123823, 27]",[123823],,,"[123823, 2]",[123823],2.0
0.8724849337106043,,01:30,,,00:00,90.30033946037292,,,0.4572727680206299,,,"[123823, 27]",[123823],,,"[123823, 16]",[123823],16.0
0.9045491564254967,22.614811481710355,10:22,,10:10,00:12,622.6828284263611,,610.4821412563324,12.091478109359741,,,,,"[79285, 27]","[79285, 1]","[123823, 21]",[123823],21.0
0.6744645406530198,6.633824123724452,04:25,,04:25,00:00,265.39049458503723,,265.29639744758606,0.04387617111206055,,,,,"[20410, 27]","[20410, 1]","[123823, 19]",[123823],19.0
0.8768521516267099,6.333513448487018,00:26,,00:25,00:00,26.413394689559937,,25.39009690284729,0.9857244491577148,,,,,"[8635, 27]","[8635, 1]","[123823, 17]",[123823],17.0
0.8941452606998429,1.0861612696304803,00:13,,00:04,00:08,13.020632028579712,,4.34333348274231,8.671308279037476,,,,,"[123823, 27]","[123823, 1]","[123823, 12]",[123823],12.0
0.7771832647010923,1.0861612696304803,00:04,,00:04,00:00,4.371608734130859,,4.331567049026489,0.03194165229797363,,,,,"[123823, 27]","[123823, 1]","[123823, 12]",[123823],12.0
0.8743114213691737,1.0861612696304803,00:04,,00:04,00:00,4.91757869720459,,4.3610522747039795,0.5486407279968262,,,,,"[123823, 27]","[123823, 1]","[123823, 12]",[123823],12.0
0.9060048301581107,-3.552713678800501e-15,02:10,,01:58,00:11,130.2758104801178,,118.33859062194824,11.928002834320068,,,,,"[123823, 27]","[123823, 1]","[123823, 21]",[123823],21.0
0.7765779781359039,0.0,02:01,,02:01,00:00,121.05658745765686,,121.01159048080444,0.04006242752075195,,,,,"[123823, 27]","[123823, 1]","[123823, 2]",[123823],2.0
0.8770910504268631,0.0,02:01,,01:59,00:01,121.06747531890869,,119.9315779209137,1.129673719406128,,,,,"[123823, 27]","[123823, 1]","[123823, 19]",[123823],19.0
0.8759907223525681,0.0,00:10,,00:06,00:04,10.513544082641602,,6.052419900894165,4.431716680526733,,,,,"[3401, 27]","[3401, 1]","[123823, 5]",[123823],5.0
0.7946397275845491,0.0,00:05,,00:05,00:00,5.937417030334473,,5.855467319488525,0.05537748336791992,,,,,"[3401, 27]","[3401, 1]","[123823, 5]",[123823],5.0
0.8462247901663232,0.0,00:06,,00:05,00:00,6.26161003112793,,5.870508432388306,0.36305737495422363,,,,,"[3401, 27]","[3401, 1]","[123823, 5]",[123823],5.0
0.8678909928194727,0.04562950134277344,00:23,,,,23.268879175186157,,,,"[2544, 27]","[2544, 1]",,,,,,,27.0
